MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
ECB,FINREP_REF_F_00.01_REF_FINREP,Nature of Report (FINREP) - Reference,F_00.01_REF,,2013-12-01,2021-06-29,FINREP
ECB,FINREP_REF_F_05.01_REF_FINREP 2.8,Breakdown of non-trading loans and advances by product: Loan and advances other than held for trading by product - Reference,F_05.01_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_24.02_REF_FINREP 2.9,Loans and advances: Flow of impairments and accumulated negative changes in fair value due to credit risk on non-performing exposures - Reference,F_24.02_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_23.03_REF_FINREP 2.9,Loans and advances collateralised by immovable property: Breakdown by LTV ratios - Reference,F_23.03_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_18.01_REF_FINREP 2.9,Inflows and outflows of non-performing exposures - loans and advances by counterparty sector - Reference,F_18.01_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_20.04_REF_FINREP 2.8,Geographical breakdown of assets by residence of the counterparty - Reference,F_20.04_REF,,2018-12-31,2020-06-29,FINREP 2.8
ECB,FINREP_REF_F_16.08_REF_FINREP 2.9,Breakdown of selected statement of profit or loss items: Other administrative expenses - Reference,F_16.08_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_04.08_REF_FINREP 2.9,Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity - Reference,F_04.08_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_20.03_REF_FINREP 2.8,Geographical breakdown of main income statement items by location of the activities - Reference,F_20.03_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_23.04_REF_FINREP 2.9,Loans and advances: Additional information on accumulated impairments and accumulated negative changes in fair value due to credit risk - Reference,F_23.04_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_24.01_REF_FINREP 2.9,Loans and advances: Inflows and outflows of non-performing exposures - Reference,F_24.01_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_02.00_REF_FINREP 2.9,Statement of profit or loss - Reference,F_02.00_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_06.01_REF_FINREP 2.9,Breakdown of non-trading loans and advances other than held for trading to non-financial corporations by NACE codes - Reference,F_06.01_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_30.02_REF_FINREP 2.8,Breakdown of interests in unconsolidated structured entities by nature of the activities - Reference,F_30.02_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_22.01_REF_FINREP 2.9,Fee and commission income and expenses by activity - Reference,F_22.01_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_47.00_REF_FINREP 2.9,Loans and advances: Average duration and recovery periods - Reference,F_47.00_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_44.04_REF_FINREP 2.9,Staff expenses by category of remuneration and category of staff - Reference,F_44.04_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_08.02_REF_FINREP 2.8,Subordinated liabilities - Reference,F_08.02_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_04.10_REF_FINREP 2.9,Breakdown of financial assets by instrument and by counterparty sector: other non-trading non-derivative financial assets - Reference,F_04.10_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_20.01_REF_FINREP 2.8,Geographical breakdown of assets by location of the activities - Reference,F_20.01_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_03.00_REF_FINREP 2.8,Statement of comprehensive income - Reference,F_03.00_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_23.06_REF_FINREP 2.9,Loans and advances: Accumulated partial write-offs - Reference,F_23.06_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_23.02_REF_FINREP 2.9,Loans and advances: Additional information on gross carrying amounts - Reference,F_23.02_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_24.03_REF_FINREP 2.9,Loans and advances: Write-offs of non-performing exposures during the period - Reference,F_24.03_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_42.00_REF_FINREP 2.9,Tangible and intangible assets: carrying amount by measurement method - Reference,F_42.00_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_07.01_REF_FINREP 2.8,Financial assets subject to impairment that are past due - Reference,F_07.01_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_45.02_REF_FINREP 2.9,Gains or losses on derecognition of non-financial assets - Reference,F_45.02_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_23.01_REF_FINREP 2.9,Loans and advances: Number of instruments - Reference,F_23.01_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_23.05_REF_FINREP 2.9,Loans and advances: Collateral received and financial guarantees received - Reference,F_23.05_REF,,2020-06-30,9999-12-31,FINREP 2.9
ECB,FINREP_REF_F_07.02_REF_FINREP 2.8,Financial assets subject to impairment that are past due under national GAAP - Reference,F_07.02_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_20.02_REF_FINREP 2.8,Geographical breakdown of liabilities by location of the activities - Reference,F_20.02_REF,,2018-12-31,2021-06-29,FINREP 2.8
ECB,FINREP_REF_F_04.09_REF_FINREP 2.9,Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at a cost-based method - Reference,F_04.09_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_16.01_REF_FINREP 2.9,Breakdown of selected statement of profit or loss items: Interest income and expenses by instrument and counterparty sector(a) - Reference,F_16.01_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_44.03_REF_FINREP 2.9,Staff expenses by type of benefits - Reference,F_44.03_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_13.01_REF_FINREP 2.9,Breakdown of collateral and guarantees by loans and advances other than held for trading - Reference,F_13.01_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_04.03.1_REF_FINREP 2.9,Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income - Reference,F_04.03.1_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_18.00.e_REF_FINREP 2.9,Information on performing and non-performing exposures (V) - Reference,F_18.00.e_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_18.00.a_REF_FINREP 2.9,Information on performing and non-performing exposures (I) - Reference,F_18.00.a_REF,,2020-06-30,2021-06-29,FINREP 2.9
ECB,FINREP_REF_F_18.02.c_REF_FINREP 2.9,Commercial Real Estate (CRE) loans and additional information on loans secured by immovable property (III) - Reference,F_18.02.c_REF,,2020-06-30,9999-12-31,FINREP 2.9
