CUBE_ID,TABLE_ID
FINREP_REF_F_19.00.a_REF_FINREP 3.0,FINREP_REF_F_19.00.a_REF_FINREP 3.0
FINREP_REF_F_25.02.a_REF_FINREP 3.0,FINREP_REF_F_25.02.a_REF_FINREP 3.0
FINREP_REF_F_13.02.1.a_REF_FINREP 3.0,FINREP_REF_F_13.02.1.a_REF_FINREP 3.0
FINREP_REF_F_13.02.1.b_REF_FINREP 3.0,FINREP_REF_F_13.02.1.b_REF_FINREP 3.0
FINREP_REF_F_13.03.1.b_REF_FINREP 3.0,FINREP_REF_F_13.03.1.b_REF_FINREP 3.0
FINREP_REF_F_13.03.1.a_REF_FINREP 3.0,FINREP_REF_F_13.03.1.a_REF_FINREP 3.0
FINREP_REF_F_00.01_REF_FINREP 3.0,FINREP_REF_F_00.01_REF_FINREP 3.0
FINREP_REF_F_04.07_REF_FINREP 3.0,FINREP_REF_F_04.07_REF_FINREP 3.0
FINREP_REF_F_12.00_REF_FINREP 3.0,FINREP_REF_F_12.00_REF_FINREP 3.0
FINREP_REF_F_22.01_REF_FINREP 3.0,FINREP_REF_F_22.01_REF_FINREP 3.0
FINREP_REF_F_21.00_REF_FINREP 3.0,FINREP_REF_F_21.00_REF_FINREP 3.0
FINREP_REF_F_11.01_REF_FINREP 3.0,FINREP_REF_F_11.01_REF_FINREP 3.0
FINREP_REF_F_41.02_REF_FINREP 3.0,FINREP_REF_F_41.02_REF_FINREP 3.0
FINREP_REF_F_20.04_REF_FINREP 3.0,FINREP_REF_F_20.04_REF_FINREP 3.0
FINREP_REF_F_17.03_REF_FINREP 3.0,FINREP_REF_F_17.03_REF_FINREP 3.0
FINREP_REF_F_30.01_REF_FINREP 3.0,FINREP_REF_F_30.01_REF_FINREP 3.0
FINREP_REF_F_44.01_REF_FINREP 3.0,FINREP_REF_F_44.01_REF_FINREP 3.0
FINREP_REF_F_11.02_REF_FINREP 3.0,FINREP_REF_F_11.02_REF_FINREP 3.0
FINREP_REF_F_04.09_REF_FINREP 3.0,FINREP_REF_F_04.09_REF_FINREP 3.0
FINREP_REF_F_41.01_REF_FINREP 3.0,FINREP_REF_F_41.01_REF_FINREP 3.0
FINREP_REF_F_06.01_REF_FINREP 3.0,FINREP_REF_F_06.01_REF_FINREP 3.0
FINREP_REF_F_22.02_REF_FINREP 3.0,FINREP_REF_F_22.02_REF_FINREP 3.0
FINREP_REF_F_42.00_REF_FINREP 3.0,FINREP_REF_F_42.00_REF_FINREP 3.0
FINREP_REF_F_44.02_REF_FINREP 3.0,FINREP_REF_F_44.02_REF_FINREP 3.0
FINREP_REF_F_16.04_REF_FINREP 3.0,FINREP_REF_F_16.04_REF_FINREP 3.0
FINREP_REF_F_30.02_REF_FINREP 3.0,FINREP_REF_F_30.02_REF_FINREP 3.0
FINREP_REF_F_16.01_REF_FINREP 3.0,FINREP_REF_F_16.01_REF_FINREP 3.0
