LOGICAL_TRANSFORMATION_RULE_ID,SEMANTIC_TRANSFORMATION_RULE_ID,ALGORITHM,ADDITIONAL_FILTERS,SOURCE_LAYER,DESTINATION_LAYER,TRANSFORMATION_TYPE,VALID_FROM,VALID_TO
GEN_L__F_25.02.a_REF__01_01_1900,F_25_02_a_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_09.02_REF__01_01_1900,F_09_02_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_25.02.c_REF__01_01_1900,F_25_02_c_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_13.03.1.b_REF__01_01_1900,F_13_03_1_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_13.02.1.b_REF__01_01_1900,F_13_02_1_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_12.02_REF__01_01_1900,F_12_02_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_18.00.e_REF__01_01_1900,F_18_00_e_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_42.00_REF__01_01_1900,F_42_00_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_20.05.b_REF__01_01_1900,F_20_05_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_20.05.a_REF__01_01_1900,F_20_05_a_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_25.02.b_REF__01_01_1900,F_25_02_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_19.00.d_REF__01_01_1900,F_19_00_d_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_26.00.b_REF__01_01_1900,F_26_00_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_25.03.b_REF__01_01_1900,F_25_03_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_21.00_REF__01_01_1900,F_21_00_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_09.01_REF__01_01_1900,F_09_01_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_15.00.b_REF__01_01_1900,F_15_00_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_26.00.a_REF__01_01_1900,F_26_00_a_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_23.05_REF__01_01_1900,F_23_05_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_23.03_REF__01_01_1900,F_23_03_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_23.01_REF__01_01_1900,F_23_01_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_18.02.c_REF__01_01_1900,F_18_02_c_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_18.02.b_REF__01_01_1900,F_18_02_b_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_13.01_REF__01_01_1900,F_13_01_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
GEN_L__F_05.01_REF__01_01_1900,F_05_01_TR,,,EIL,ROL,GEN,1900-01-01,9999-12-31
