AXIS_ORDINATE_ID,IS_ABSTRACT_HEADER,CODE,ORDER,LEVEL,PATH,AXIS_ID,PARENT_AXIS_ORDINATE_ID,NAME,DESCRIPTION
AE_REF_A_00_01_REF_AE 3_2_1_0010,,0010,,,AE_REF_A_00.01_REF_AE 3.2_1_0010.,AE_REF_A_00_01_REF_AE 3_2_1,,Nature of Report,
AE_REF_A_00_01_REF_AE 3_2_2_0010,,0010,,,AE_REF_A_00.01_REF_AE 3.2_2_0010.,AE_REF_A_00_01_REF_AE 3_2_2,,Accounting framework,
AE_REF_A_00_01_REF_AE 3_2_2_0020,,0020,,,AE_REF_A_00.01_REF_AE 3.2_2_0020.,AE_REF_A_00_01_REF_AE 3_2_2,,Reporting Level,
AE_REF_F_32_01_REF_AE 3_2_1_0010,,0010,,,AE_REF_F_32.01_REF_AE 3.2_1_0010.,AE_REF_F_32_01_REF_AE 3_2_1,,Carrying amount of encumbered assets,
AE_REF_F_32_01_REF_AE 3_2_1_0020,,0020,,,AE_REF_F_32.01_REF_AE 3.2_1_0010.AE_REF_F_32.01_REF_AE 3.2_1_0020.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: issued by other entities of the group,
AE_REF_F_32_01_REF_AE 3_2_1_0030,,0030,,,AE_REF_F_32.01_REF_AE 3.2_1_0010.AE_REF_F_32.01_REF_AE 3.2_1_0030.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_01_REF_AE 3_2_1_0035,,0035,,,AE_REF_F_32.01_REF_AE 3.2_1_0010.AE_REF_F_32.01_REF_AE 3.2_1_0035.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which notionally eligible EHQLA and HQLA,
AE_REF_F_32_01_REF_AE 3_2_1_0040,,0040,,,AE_REF_F_32.01_REF_AE 3.2_1_0040.,AE_REF_F_32_01_REF_AE 3_2_1,,Fair value of encumbered assets,
AE_REF_F_32_01_REF_AE 3_2_1_0050,,0050,,,AE_REF_F_32.01_REF_AE 3.2_1_0040.AE_REF_F_32.01_REF_AE 3.2_1_0050.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_01_REF_AE 3_2_1_0055,,0055,,,AE_REF_F_32.01_REF_AE 3.2_1_0040.AE_REF_F_32.01_REF_AE 3.2_1_0055.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which notionally eligible EHQLA and HQLA,
AE_REF_F_32_01_REF_AE 3_2_1_0060,,0060,,,AE_REF_F_32.01_REF_AE 3.2_1_0060.,AE_REF_F_32_01_REF_AE 3_2_1,,Carrying amount of unencumbered assets,
AE_REF_F_32_01_REF_AE 3_2_1_0070,,0070,,,AE_REF_F_32.01_REF_AE 3.2_1_0060.AE_REF_F_32.01_REF_AE 3.2_1_0070.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: issued by other entities of the group,
AE_REF_F_32_01_REF_AE 3_2_1_0080,,0080,,,AE_REF_F_32.01_REF_AE 3.2_1_0060.AE_REF_F_32.01_REF_AE 3.2_1_0080.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: central bank's eligible,
AE_REF_F_32_01_REF_AE 3_2_1_0085,,0085,,,AE_REF_F_32.01_REF_AE 3.2_1_0060.AE_REF_F_32.01_REF_AE 3.2_1_0085.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: EHQLA and HQLA,
AE_REF_F_32_01_REF_AE 3_2_1_0090,,0090,,,AE_REF_F_32.01_REF_AE 3.2_1_0090.,AE_REF_F_32_01_REF_AE 3_2_1,,Fair value of unencumbered assets,
AE_REF_F_32_01_REF_AE 3_2_1_0100,,0100,,,AE_REF_F_32.01_REF_AE 3.2_1_0090.AE_REF_F_32.01_REF_AE 3.2_1_0100.,AE_REF_F_32_01_REF_AE 3_2_1,,Of which: central bank's eligible,
