CELL_ID,AXIS_ORDINATE_ID
127152_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
127151_REF,FINREP_REF_F_00_01_REF_FINREP_2_010
127151_REF,FINREP_REF_F_00_01_REF_FINREP_1_010
127152_REF,FINREP_REF_F_00_01_REF_FINREP_2_020
2740363_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_240
2739831_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
2740018_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
2760167_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_060
3152353_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_140
2740221_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
3152592_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
2786713_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
2740147_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
3170382_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
3170278_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_080
2739840_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
2739823_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
3152493_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_070
3152433_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_041
3153033_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_180
3176588_REF,FINREP_REF_F_42_00_REF_FINREP 2_9_1_020
2740958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_171
3151436_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_130
2740153_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_060
2739759_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_080
2741251_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_069
3152509_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
2786699_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
3153327_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
3170248_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_050
3153191_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_015
3152278_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
3152452_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
3152536_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
