COMBINATION_ID,CODE,NAME,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO,METRIC
10618_REF,,,,,,,CRRYNG_AMNT
10619_REF,,,,,,,CRRYNG_AMNT
10621_REF,,,,,,,CRRYNG_AMNT
10622_REF,,,,,,,CRRYNG_AMNT
10623_REF,,,,,,,CRRYNG_AMNT
10624_REF,,,,,,,CRRYNG_AMNT
10625_REF,,,,,,,CRRYNG_AMNT
10626_REF,,,,,,,CRRYNG_AMNT
10627_REF,,,,,,,CRRYNG_AMNT
10644_REF,,,,,,,CRRYNG_AMNT
10645_REF,,,,,,,CRRYNG_AMNT
10647_REF,,,,,,,CRRYNG_AMNT
10648_REF,,,,,,,CRRYNG_AMNT
10649_REF,,,,,,,CRRYNG_AMNT
10650_REF,,,,,,,CRRYNG_AMNT
10651_REF,,,,,,,CRRYNG_AMNT
10652_REF,,,,,,,CRRYNG_AMNT
10653_REF,,,,,,,CRRYNG_AMNT
10689_REF,,,,,,,NTNL_AMNT
10690_REF,,,,,,,NTNL_AMNT
10692_REF,,,,,,,NTNL_AMNT
10693_REF,,,,,,,NTNL_AMNT
10694_REF,,,,,,,NTNL_AMNT
10695_REF,,,,,,,NTNL_AMNT
10696_REF,,,,,,,NTNL_AMNT
10697_REF,,,,,,,NTNL_AMNT
10698_REF,,,,,,,NTNL_AMNT
10709_REF,,,,,,,NTNL_AMNT
10710_REF,,,,,,,NTNL_AMNT
10711_REF,,,,,,,NTNL_AMNT
10712_REF,,,,,,,NTNL_AMNT
10713_REF,,,,,,,NTNL_AMNT
10714_REF,,,,,,,NTNL_AMNT
10715_REF,,,,,,,NTNL_AMNT
10896_REF,,,,,,,CRRYNG_AMNT
10897_REF,,,,,,,CRRYNG_AMNT
10898_REF,,,,,,,CRRYNG_AMNT
10901_REF,,,,,,,CRRYNG_AMNT
10902_REF,,,,,,,CRRYNG_AMNT
10903_REF,,,,,,,CRRYNG_AMNT
10905_REF,,,,,,,CRRYNG_AMNT
10906_REF,,,,,,,CRRYNG_AMNT
10907_REF,,,,,,,CRRYNG_AMNT
10950_REF,,,,,,,CRRYNG_AMNT
10951_REF,,,,,,,CRRYNG_AMNT
10952_REF,,,,,,,CRRYNG_AMNT
10953_REF,,,,,,,CRRYNG_AMNT
10954_REF,,,,,,,CRRYNG_AMNT
10955_REF,,,,,,,CRRYNG_AMNT
10956_REF,,,,,,,CRRYNG_AMNT
10957_REF,,,,,,,CRRYNG_AMNT
10958_REF,,,,,,,CRRYNG_AMNT
10959_REF,,,,,,,CRRYNG_AMNT
10960_REF,,,,,,,CRRYNG_AMNT
10964_REF,,,,,,,CRRYNG_AMNT
10965_REF,,,,,,,CRRYNG_AMNT
