COMBINATION_ID,VARIABLE_ID,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,MEMBER_HIERARCHY
151052_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_38,
151052_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151052_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151052_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S122_A_IO,
151052_REF,MLTLTRL_DVLPMNT_BNK_INDCTR,,,MLTLTRL_DVLPMNT_BNK_INDCTR_1,
151052_REF,PRTY_RL_TYP,,,ENTTY_RL_TYP_45,
151052_REF,ENTRPRS_SZ,,,SZ_5,
151052_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_0,
151052_REF,DFLT_STTS,,,CRDT_QLTY_10,
151052_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
456733_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
456733_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_-1,
152496_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_60,
152496_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
152496_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_251,
152496_REF,RPYMNT_RGHTS,,,RPYMNT_RGHTS_-1,
152496_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
152496_REF,PRTY_RL_TYP,,,ENTTY_RL_TYP_46,
152496_REF,MN_DBTR_INDCTR,,,MN_DBTR_INDCTR_1,
152496_REF,ENTRPRS_SZ,,,SZ_5,
152496_REF,PRPS,,,PRPS_-1,
152496_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_2,
152496_REF,DFLT_STTS,,,CRDT_QLTY_10,
152496_REF,PRFRMNG_STTS,,,CRDT_QLTY_1,
152161_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_72,
152161_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
152161_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S122_A_IO,
152161_REF,MLTLTRL_DVLPMNT_BNK_INDCTR,,,MLTLTRL_DVLPMNT_BNK_INDCTR_1,
152161_REF,PRTY_RL_TYP,,,ENTTY_RL_TYP_27,
152161_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_549,
152161_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_0,
152580_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_60,
152580_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
152580_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_210,
152580_REF,RPYMNT_RGHTS,,,RPYMNT_RGHTS_-1,
152580_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S12_D,
