MAINTENANCE_AGENCY_ID,CUBE_LINK_ID,CODE,NAME,DESCRIPTION,VALID_FROM,VALID_TO,VERSION,ORDER_RELEVANCE,PRIMARY_CUBE_ID,FOREIGN_CUBE_ID,CUBE_LINK_TYPE,LOGICAL_TRANSFORMATION_RULE_ID
ECB,WUDEN__BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_IL_1__01_01_1990__BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM_1__1,WUDEN__BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_IL_1__01_01_1990__BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM_1,The LDM: Instrument Collateral instrument assignment (BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM) is forward engineered into the IL: Instrument Collateral instrument assignment (BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_IL),,1900-01-01,9999-12-31,1,1,BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_LDM_1,BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_IL_1,TR,WUDEN__BIRD_INSTRMNT_CLLTRL_RCVD_INSTRMNT_ASSGNMNT_IL_1__01_01_1990
ECB,WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL_1__01_01_1990__BIRD_LNG_SCRTY_PSTN_TRDNG_BK_ASSGNMNT_NGAAP_LDM_1__1,WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL_1__01_01_1990__BIRD_LNG_SCRTY_PSTN_TRDNG_BK_ASSGNMNT_NGAAP_LDM_1,The LDM: Long security position trading book assignment national general accepted accounting principles (nGAAP) (BIRD_LNG_SCRTY_PSTN_TRDNG_BK_ASSGNMNT_NGAAP_LDM) is forward engineered into the IL: Long security position Prudential portfolio assignment (BI,,1900-01-01,9999-12-31,1,1,BIRD_LNG_SCRTY_PSTN_TRDNG_BK_ASSGNMNT_NGAAP_LDM_1,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL_1,TR,WUDEN__BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_IL_1__01_01_1990
ECB,WUDEN__BIRD_NN_FNNCL_ASST_EIL_1__01_01_1990__BIRD_OTHR_INTNGBL_ASST_NT_TKN_INT_PSSSSN_ELDM_1__1,WUDEN__BIRD_NN_FNNCL_ASST_EIL_1__01_01_1990__BIRD_OTHR_INTNGBL_ASST_NT_TKN_INT_PSSSSN_ELDM_1,The LDM: Other intangible asset not taken into possession (BIRD_OTHR_INTNGBL_ASST_NT_TKN_INT_PSSSSN_ELDM) is forward engineered into the IL: Non-financial asset (BIRD_NN_FNNCL_ASST_EIL),,1900-01-01,9999-12-31,1,1,BIRD_OTHR_INTNGBL_ASST_NT_TKN_INT_PSSSSN_ELDM_1,BIRD_NN_FNNCL_ASST_EIL_1,TR,WUDEN__BIRD_NN_FNNCL_ASST_EIL_1__01_01_1990
ECB,WUDEN__BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_IL_1__01_01_1990__BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM_1__1,WUDEN__BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_IL_1__01_01_1990__BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM_1,The LDM: Security position hedged by Over the counter (OTC) derivative (BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM) is forward engineered into the IL: Security position hedged by Over the counter (OTC) derivative (BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_IL),,1900-01-01,9999-12-31,1,1,BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_LDM_1,BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_IL_1,TR,WUDEN__BIRD_SCRTY_PSTN_HDGD_OTC_DRVTV_IL_1__01_01_1990
ECB,WUDEN__BIRD_NN_FNNCL_LBLTY_EIL_1__01_01_1990__BIRD_PNSN_OTHR_PST_EMPLYMNT_BNFT_OBLGTN_ELDM_1__1,WUDEN__BIRD_NN_FNNCL_LBLTY_EIL_1__01_01_1990__BIRD_PNSN_OTHR_PST_EMPLYMNT_BNFT_OBLGTN_ELDM_1,The LDM: Pension and other post-employment defined benefit obligation (BIRD_PNSN_OTHR_PST_EMPLYMNT_BNFT_OBLGTN_ELDM) is forward engineered into the IL: Non-financial liability (BIRD_NN_FNNCL_LBLTY_EIL),,1900-01-01,9999-12-31,1,1,BIRD_PNSN_OTHR_PST_EMPLYMNT_BNFT_OBLGTN_ELDM_1,BIRD_NN_FNNCL_LBLTY_EIL_1,TR,WUDEN__BIRD_NN_FNNCL_LBLTY_EIL_1__01_01_1990
ECB,WUDEN__BIRD_PRTY_IL_1__01_01_1990__BIRD_LSTD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM_1__1,WUDEN__BIRD_PRTY_IL_1__01_01_1990__BIRD_LSTD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM_1,The LDM: Listed central bank and private sector company (BIRD_LSTD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM) is forward engineered into the IL: Party (BIRD_PRTY_IL),,1900-01-01,9999-12-31,1,1,BIRD_LSTD_CNTRL_BNK_PRVT_SCTR_CMPNY_LDM_1,BIRD_PRTY_IL_1,TR,WUDEN__BIRD_PRTY_IL_1__01_01_1990
ECB,WUDEN__BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL_1__01_01_1990__BIRD_ISIN_SCRTY_LDM_1__1,WUDEN__BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL_1__01_01_1990__BIRD_ISIN_SCRTY_LDM_1,The LDM: International securities identification number (ISIN) security (BIRD_ISIN_SCRTY_LDM) is forward engineered into the IL: Security and exchange tradable derivative (BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL),,1900-01-01,9999-12-31,1,1,BIRD_ISIN_SCRTY_LDM_1,BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL_1,TR,WUDEN__BIRD_SCRTY_EXCHNG_TRDBL_DRVTV_IL_1__01_01_1990
ECB,WUDEN__BIRD_PRTY_EIL_1__01_01_1990__BIRD_INTRNTNL_ORGNSTN_GNRL_GVNMNT_ELDM_1__1,WUDEN__BIRD_PRTY_EIL_1__01_01_1990__BIRD_INTRNTNL_ORGNSTN_GNRL_GVNMNT_ELDM_1,The LDM: International organisation and general government (BIRD_INTRNTNL_ORGNSTN_GNRL_GVNMNT_ELDM) is forward engineered into the IL: Party (BIRD_PRTY_EIL),,1900-01-01,9999-12-31,1,1,BIRD_INTRNTNL_ORGNSTN_GNRL_GVNMNT_ELDM_1,BIRD_PRTY_EIL_1,TR,WUDEN__BIRD_PRTY_EIL_1__01_01_1990
ECB,WUDEN__BIRD_RTNG_SYSTM_IL_1__01_01_1990__BIRD_RTNG_SYSTM_LDM_1__1,WUDEN__BIRD_RTNG_SYSTM_IL_1__01_01_1990__BIRD_RTNG_SYSTM_LDM_1,The LDM: Rating system (BIRD_RTNG_SYSTM_LDM) is forward engineered into the IL: Rating system (BIRD_RTNG_SYSTM_IL),,1900-01-01,9999-12-31,1,1,BIRD_RTNG_SYSTM_LDM_1,BIRD_RTNG_SYSTM_IL_1,TR,WUDEN__BIRD_RTNG_SYSTM_IL_1__01_01_1990
ECB,WUDEN__BIRD_INSTRMNT_IL_1__01_01_1990__BIRD_OTHR_OTC_SWP_LDM_1__1,WUDEN__BIRD_INSTRMNT_IL_1__01_01_1990__BIRD_OTHR_OTC_SWP_LDM_1,The LDM: Other over the counter (OTC) Swap (BIRD_OTHR_OTC_SWP_LDM) is forward engineered into the IL: Instrument (BIRD_INSTRMNT_IL),,1900-01-01,9999-12-31,1,1,BIRD_OTHR_OTC_SWP_LDM_1,BIRD_INSTRMNT_IL_1,TR,WUDEN__BIRD_INSTRMNT_IL_1__01_01_1990
