CUBE_STRUCTURE_ITEM_LINK_ID,CUBE_LINK_ID,FOREIGN_CUBE_VARIABLE_CODE,PRIMARY_CUBE_VARIABLE_CODE
F_01_01_REF_FINREP_3_0:DBT_SCRTY:Debt securities:SCRTY_EXCHNG_TRDBL_DRVTV_TYP:DBT_SCRTY_TYP,F_01_01_REF_FINREP_3_0:DBT_SCRTY:Debt securities,277638,272435
F_01_01_REF_FINREP_3_0:ENTTY_RL:Derivatives:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:ENTTY_RL:Derivatives,277595,277173
F_01_01_REF_FINREP_3_0:ENTTY_RL:Equity instruments:PRTY_RL_TYP:ENTTY_RL_TYP,F_01_01_REF_FINREP_3_0:ENTTY_RL:Equity instruments,277595,277173
F_01_01_REF_FINREP_3_0:ENTTY_TRNSCTN_RL:Derivatives:PRTY_RL_TYP:ENTTY_TRNSCTN_RL_TYP,F_01_01_REF_FINREP_3_0:ENTTY_TRNSCTN_RL:Derivatives,277595,277174
F_01_01_REF_FINREP_3_0:ENTTY_TRNSCTN_RL:Equity instruments:PRTY_RL_TYP:ENTTY_TRNSCTN_RL_TYP,F_01_01_REF_FINREP_3_0:ENTTY_TRNSCTN_RL:Equity instruments,277595,277174
F_01_01_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments:SCRTY_EXCHNG_TRDBL_DRVTV_TYP:EQTY_FND_SCRTY_TYP,F_01_01_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments,277638,273648
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives,277592,273070
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives:PRTY_RL_TYP:BYR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives,277595,273064
F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives:PRTY_RL_TYP:SLLR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:EXCHNG_TRDBL_DRVTV_PSTN:Derivatives,277595,273077
F_01_01_REF_FINREP_3_0:INSTRMNT:Derivatives:TYP_INSTRMNT:INSTRMNT_TYP_ORGN,F_01_01_REF_FINREP_3_0:INSTRMNT:Derivatives,277591,273840
F_01_01_REF_FINREP_3_0:INSTRMNT:Derivatives:TYP_INSTRMNT:INSTRMNT_TYP_PRDCT,F_01_01_REF_FINREP_3_0:INSTRMNT:Derivatives,277591,273841
F_01_01_REF_FINREP_3_0:INSTRMNT_SRVCR_ASSGNMNT:Derivatives:PRTY_RL_TYP:SRVCR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:INSTRMNT_SRVCR_ASSGNMNT:Derivatives,277595,273945
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets other than Goodwill:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets other than Goodwill,277592,274005
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets. Goodwill:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets. Goodwill,277592,274005
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Intangible assets,277592,274005
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Non-current assets and disposal groups classified as held for sale:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Non-current assets and disposal groups classified as held for sale,277592,274005
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Tangible assets. Investment property:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Tangible assets. Investment property,277592,274005
F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Tangible assets:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:INVSTMNT_PRPRTY:Tangible assets,277592,274005
F_01_01_REF_FINREP_3_0:ISIN_SCRTY:Debt securities:NGTBL_SCRTY_INDCTR:NGTBL_SCRTY_INDCTR,F_01_01_REF_FINREP_3_0:ISIN_SCRTY:Debt securities,277597,273993
F_01_01_REF_FINREP_3_0:LNG_DBT_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IFRS:Debt securities:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:LNG_DBT_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_IFRS:Debt securities,277592,274466
F_01_01_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments:HLD_SL_INDCTR:HLD_SL_INDCTR,F_01_01_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,277592,274579
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_DRVD_DT:Equity instruments:PRTY_RL_TYP:INVSTR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_DRVD_DT:Equity instruments,277595,274699
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Debt securities:TYP_HDG:TYP_HDG,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Debt securities,277671,274684
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Equity instruments:PRTY_RL_TYP:INVSTR_RL_TYP,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Equity instruments,277595,274678
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Equity instruments:TYP_HDG:TYP_HDG,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_HDG:Equity instruments,277671,274684
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT:Equity instruments:PRTY_RL_TYP:INVSTR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT:Equity instruments,277595,274731
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,277590,274582
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,277589,274586
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments,277590,274582
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments,277589,274586
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments:PRTY_RL_TYP:INVSTR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Equity instruments,277595,274596
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FR_FNNCL_ASSTS_ASSGNMNT_DRVD_DT:Equity instruments:ACCNTNG_CLSSFCTN:ACCNTNG_CLSSFCTN,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FR_FNNCL_ASSTS_ASSGNMNT_DRVD_DT:Equity instruments,277590,274743
F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FR_FNNCL_ASSTS_ASSGNMNT_DRVD_DT:Equity instruments:PRTY_RL_TYP:INVSTR_PRTY_RL_TYP,F_01_01_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FR_FNNCL_ASSTS_ASSGNMNT_DRVD_DT:Equity instruments,277595,274753
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Current tax assets,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Deferred tax assets,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets other than Goodwill,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets. Goodwill:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets. Goodwill,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Intangible assets,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Non-current assets and disposal groups classified as held for sale:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Non-current assets and disposal groups classified as held for sale,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets. Investment property:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets. Investment property,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tangible assets,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST:Tax assets,277649,277029
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Current tax assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Current tax assets,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Current tax assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Current tax assets,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Deferred tax assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Deferred tax assets,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Deferred tax assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Deferred tax assets,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets other than Goodwill:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets other than Goodwill,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets other than Goodwill:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets other than Goodwill,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets. Goodwill:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets. Goodwill,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets. Goodwill:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets. Goodwill,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Intangible assets,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Non-current assets and disposal groups classified as held for sale:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Non-current assets and disposal groups classified as held for sale,277589,277027
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Non-current assets and disposal groups classified as held for sale:TYP_ACCNTNG_ITM:NN_FNNCL_ASST_NN_FNNCL_LBLTY_TYP,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Non-current assets and disposal groups classified as held for sale,277649,277028
F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Tangible assets. Investment property:CRRYNG_AMNT:CRRYNG_AMNT,F_01_01_REF_FINREP_3_0:NN_FNNCL_ASST_NN_FNNCL_LBLTY:Tangible assets. Investment property,277589,277027
