CUBE_ID,COMBINATION_ID
F_20_04_REF_FINREP_3_0,151052_REF
F_40_01_REF_FINREP_3_0,456733_REF
F_20_04_REF_FINREP_3_0,152496_REF
F_20_06_REF_FINREP_3_0,152161_REF
F_20_04_REF_FINREP_3_0,152580_REF
F_20_04_REF_FINREP_3_0,152487_REF
F_20_04_REF_FINREP_3_0,429377_REF
F_20_04_REF_FINREP_3_0,429322_REF
F_40_02_REF_FINREP_3_0,456731_REF
F_40_01_REF_FINREP_3_0,456973_REF
F_40_01_REF_FINREP_3_0,456081_REF
F_20_06_REF_FINREP_3_0,152163_REF
F_20_04_REF_FINREP_3_0,150848_REF
F_20_04_REF_FINREP_3_0,441778_REF
F_20_04_REF_FINREP_3_0,442052_REF
F_20_04_REF_FINREP_3_0,429285_REF
F_20_04_REF_FINREP_3_0,152410_REF
F_20_04_REF_FINREP_3_0,442055_REF
F_20_04_REF_FINREP_3_0,112763_REF
F_20_04_REF_FINREP_3_0,112767_REF
F_20_04_REF_FINREP_3_0,112764_REF
F_20_04_REF_FINREP_3_0,442065_REF
F_20_04_REF_FINREP_3_0,151065_REF
F_20_04_REF_FINREP_3_0,150847_REF
F_20_04_REF_FINREP_3_0,434228_REF
F_20_04_REF_FINREP_3_0,152578_REF
F_20_04_REF_FINREP_3_0,442058_REF
F_20_04_REF_FINREP_3_0,152412_REF
F_20_04_REF_FINREP_3_0,112782_REF
F_20_04_REF_FINREP_3_0,150852_REF
F_20_04_REF_FINREP_3_0,151062_REF
F_20_04_REF_FINREP_3_0,150849_REF
F_20_04_REF_FINREP_3_0,442044_REF
F_20_04_REF_FINREP_3_0,152358_REF
F_20_04_REF_FINREP_3_0,152494_REF
F_20_04_REF_FINREP_3_0,112773_REF
F_20_04_REF_FINREP_3_0,442042_REF
F_20_04_REF_FINREP_3_0,112798_REF
F_20_04_REF_FINREP_3_0,442053_REF
F_20_04_REF_FINREP_3_0,429411_REF
F_20_04_REF_FINREP_3_0,112771_REF
F_20_04_REF_FINREP_3_0,152408_REF
F_20_04_REF_FINREP_3_0,442059_REF
F_20_04_REF_FINREP_3_0,441757_REF
F_20_04_REF_FINREP_3_0,150850_REF
F_40_01_REF_FINREP_3_0,456459_REF
F_40_01_REF_FINREP_3_0,457222_REF
F_20_06_REF_FINREP_3_0,152172_REF
F_20_04_REF_FINREP_3_0,434230_REF
F_20_04_REF_FINREP_3_0,429379_REF
F_20_06_REF_FINREP_3_0,152167_REF
F_20_04_REF_FINREP_3_0,152497_REF
F_20_04_REF_FINREP_3_0,151066_REF
F_20_04_REF_FINREP_3_0,152492_REF
F_20_06_REF_FINREP_3_0,152165_REF
F_20_04_REF_FINREP_3_0,152581_REF
F_20_04_REF_FINREP_3_0,151070_REF
F_40_01_REF_FINREP_3_0,456726_REF
F_40_01_REF_FINREP_3_0,456974_REF
F_20_04_REF_FINREP_3_0,151069_REF
F_20_04_REF_FINREP_3_0,429324_REF
F_20_04_REF_FINREP_3_0,442062_REF
F_20_04_REF_FINREP_3_0,152367_REF
F_20_04_REF_FINREP_3_0,429289_REF
F_20_04_REF_FINREP_3_0,442049_REF
F_20_04_REF_FINREP_3_0,441810_REF
F_20_04_REF_FINREP_3_0,150898_REF
F_20_04_REF_FINREP_3_0,151068_REF
F_20_04_REF_FINREP_3_0,152368_REF
F_20_04_REF_FINREP_3_0,151058_REF
F_20_04_REF_FINREP_3_0,152474_REF
F_20_04_REF_FINREP_3_0,112781_REF
F_20_04_REF_FINREP_3_0,151051_REF
F_20_04_REF_FINREP_3_0,150853_REF
F_20_04_REF_FINREP_3_0,112765_REF
F_20_04_REF_FINREP_3_0,112801_REF
F_20_04_REF_FINREP_3_0,112807_REF
F_20_04_REF_FINREP_3_0,67802_REF
F_20_04_REF_FINREP_3_0,152583_REF
F_20_04_REF_FINREP_3_0,152409_REF
F_20_04_REF_FINREP_3_0,442063_REF
F_20_04_REF_FINREP_3_0,151055_REF
F_20_04_REF_FINREP_3_0,434225_REF
F_20_04_REF_FINREP_3_0,150896_REF
F_20_04_REF_FINREP_3_0,442061_REF
F_20_04_REF_FINREP_3_0,151064_REF
F_20_04_REF_FINREP_3_0,442041_REF
F_20_04_REF_FINREP_3_0,152366_REF
F_20_04_REF_FINREP_3_0,429287_REF
F_20_04_REF_FINREP_3_0,442051_REF
F_20_04_REF_FINREP_3_0,429355_REF
F_20_04_REF_FINREP_3_0,152486_REF
F_40_01_REF_FINREP_3_0,456729_REF
F_20_04_REF_FINREP_3_0,151049_REF
F_40_01_REF_FINREP_3_0,454813_REF
F_20_04_REF_FINREP_3_0,152576_REF
F_20_04_REF_FINREP_3_0,152489_REF
F_20_06_REF_FINREP_3_0,152166_REF
F_20_04_REF_FINREP_3_0,152490_REF
F_40_01_REF_FINREP_3_0,455016_REF
F_20_04_REF_FINREP_3_0,152479_REF
F_40_02_REF_FINREP_3_0,454692_REF
F_20_04_REF_FINREP_3_0,152491_REF
F_20_04_REF_FINREP_3_0,429288_REF
F_20_06_REF_FINREP_3_0,152160_REF
F_40_01_REF_FINREP_3_0,456465_REF
F_20_04_REF_FINREP_3_0,152476_REF
F_20_06_REF_FINREP_3_0,152162_REF
F_20_04_REF_FINREP_3_0,151071_REF
F_20_04_REF_FINREP_3_0,151061_REF
F_20_04_REF_FINREP_3_0,152411_REF
F_20_04_REF_FINREP_3_0,112806_REF
F_20_04_REF_FINREP_3_0,152481_REF
F_20_04_REF_FINREP_3_0,151072_REF
F_20_04_REF_FINREP_3_0,112805_REF
F_20_04_REF_FINREP_3_0,112759_REF
F_20_04_REF_FINREP_3_0,152364_REF
F_20_04_REF_FINREP_3_0,442054_REF
F_20_04_REF_FINREP_3_0,442060_REF
F_40_02_REF_FINREP_3_0,457223_REF
F_20_04_REF_FINREP_3_0,441756_REF
F_20_04_REF_FINREP_3_0,442064_REF
F_20_04_REF_FINREP_3_0,150846_REF
F_20_04_REF_FINREP_3_0,152360_REF
F_20_04_REF_FINREP_3_0,150899_REF
F_20_04_REF_FINREP_3_0,442045_REF
F_20_04_REF_FINREP_3_0,150900_REF
F_20_04_REF_FINREP_3_0,152362_REF
F_20_04_REF_FINREP_3_0,150845_REF
F_20_04_REF_FINREP_3_0,442057_REF
F_20_04_REF_FINREP_3_0,442056_REF
F_20_04_REF_FINREP_3_0,112757_REF
F_20_04_REF_FINREP_3_0,112809_REF
F_20_04_REF_FINREP_3_0,152477_REF
F_20_04_REF_FINREP_3_0,151060_REF
F_20_04_REF_FINREP_3_0,152357_REF
F_20_04_REF_FINREP_3_0,151050_REF
F_40_01_REF_FINREP_3_0,456732_REF
F_20_04_REF_FINREP_3_0,152599_REF
F_20_06_REF_FINREP_3_0,152168_REF
F_20_04_REF_FINREP_3_0,151053_REF
F_20_06_REF_FINREP_3_0,152164_REF
F_40_02_REF_FINREP_3_0,454812_REF
F_20_04_REF_FINREP_3_0,152483_REF
F_20_04_REF_FINREP_3_0,152493_REF
F_20_04_REF_FINREP_3_0,429290_REF
F_20_04_REF_FINREP_3_0,434232_REF
F_40_01_REF_FINREP_3_0,456247_REF
F_20_04_REF_FINREP_3_0,429412_REF
F_20_04_REF_FINREP_3_0,152495_REF
F_20_04_REF_FINREP_3_0,152594_REF
F_40_01_REF_FINREP_3_0,454693_REF
F_40_01_REF_FINREP_3_0,456564_REF
F_20_04_REF_FINREP_3_0,151063_REF
F_20_06_REF_FINREP_3_0,152171_REF
F_40_01_REF_FINREP_3_0,455015_REF
F_20_04_REF_FINREP_3_0,152484_REF
F_20_04_REF_FINREP_3_0,434231_REF
F_20_06_REF_FINREP_3_0,152170_REF
F_20_04_REF_FINREP_3_0,429356_REF
F_20_04_REF_FINREP_3_0,442050_REF
F_20_04_REF_FINREP_3_0,112797_REF
F_20_04_REF_FINREP_3_0,112793_REF
