MEMBER_HIERARCHY_ID,MEMBER_ID,LEVEL,PARENT_MEMBER_ID,COMPARATOR,OPERATOR,VALID_FROM,VALID_TO
EBA_PU_PU23,EBA_PU_EBA_x4,2,EBA_PU_EBA_x0,,+,,
EBA_PU_PU23,EBA_PU_EBA_x1,2,EBA_PU_EBA_x0,,+,,
EBA_PU_PU23,EBA_PU_EBA_x3,2,EBA_PU_EBA_x0,,+,,
EBA_RT_RT3,EBA_RT_EBA_x11,2,EBA_RT_EBA_x8,,+,,
EBA_RT_RT3,EBA_RT_EBA_x10,2,EBA_RT_EBA_x8,,+,,
EBA_NC_NC1,EBA_NC_EBA_B5,2,EBA_NC_EBA_B,,+,,
EBA_NC_NC1,EBA_NC_EBA_B6,2,EBA_NC_EBA_B,,+,,
EBA_NC_NC1,EBA_NC_EBA_A2,2,EBA_NC_EBA_A,,+,,
EBA_NC_NC1,EBA_NC_EBA_B8,2,EBA_NC_EBA_B,,+,,
EBA_NC_NC1,EBA_NC_EBA_A1,2,EBA_NC_EBA_A,,+,,
EBA_NC_NC1,EBA_NC_EBA_B7,2,EBA_NC_EBA_B,,+,,
EBA_NC_NC1,EBA_NC_EBA_B9,2,EBA_NC_EBA_B,,+,,
EBA_NC_NC1,EBA_NC_EBA_A3,2,EBA_NC_EBA_A,,+,,
EBA_GA_GA8,EBA_GA_EBA_DZ,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA5,EBA_GA_EBA_TD,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA5,EBA_GA_EBA_MG,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA5,EBA_GA_EBA_CK,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA8,EBA_GA_EBA_GS,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA1,EBA_GA_EBA_LU,2,EBA_GA_EBA_x0,,+,,
EBA_GA_GA8,EBA_GA_EBA_UG,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA1,EBA_GA_EBA_GB,2,EBA_GA_EBA_x0,,+,,
EBA_GA_GA8,EBA_GA_EBA_BH,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA8,EBA_GA_EBA_OM,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA8,EBA_GA_EBA_VN,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA1,EBA_GA_EBA_DK,2,EBA_GA_EBA_x0,,+,,
EBA_NC_NC1,EBA_NC_EBA_C13,2,EBA_NC_EBA_C,,+,,
EBA_GA_GA5,EBA_GA_EBA_AL,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA8,EBA_GA_EBA_ET,3,EBA_GA_EBA_x1,,,,
EBA_TA_TA1,EBA_TA_EBA_x4,2,EBA_TA_EBA_x0,,+,,
EBA_GA_GA5,EBA_GA_EBA_LI,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA5,EBA_GA_EBA_VC,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA5,EBA_GA_EBA_BE,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA5,EBA_GA_EBA_IR,2,EBA_GA_EBA_x0,,,,
EBA_NC_NC1,EBA_NC_EBA_J58,2,EBA_NC_EBA_J,,+,,
EBA_GA_GA8,EBA_GA_EBA_CF,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA1,EBA_GA_EBA_EE,2,EBA_GA_EBA_x0,,+,,
EBA_GA_GA5,EBA_GA_EBA_SX,2,EBA_GA_EBA_x0,,,,
EBA_GA_GA8,EBA_GA_EBA_NC,3,EBA_GA_EBA_x1,,,,
EBA_GA_GA5,EBA_GA_EBA_AW,2,EBA_GA_EBA_x0,,,,
