SEMANTIC_TRANSFORMATION_RULE_ID,TRANSFORMATION_URL,TYPE_OF_TRANSFORMATION,MAINTENANCE_AGENCY_ID,NAME,CODE,DESCRIPTION,ALGORITHM,VALID_FROM,VALID_TO
ACCMLTD_CVRG_RT_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/ACCMLTD_CVRG_RT/infosheet.md,D,ECB,Accumulated coverage ratio derivation rule,ACCMLTD_CVRG_RT_TR,This derivation rule aims to obtain the Accumulated coverage ratio from its building blocks.,"SET ACCMLTD_CVRG_RT =
        CASE
            WHEN SBJCT_IMPRMNT_INDCTR = 1 
                AND ACCNTNG_CLSSFCTN IN (14, 45,6, 8,73, 74) 
                THEN ACCMLTD_IMPRMNT/GRSS_CRRYNG_AMNT

            WHEN SBJCT_IMPRMNT_INDCTR = 2 
                AND PRFRMNG_STTS=1 
                AND ACCNTNG_CLSSFCTN IN (4,41,47, 7,9) 
                THEN ACCMLTD_CHNGS_FV_CR/GRSS_CRRYNG_AMNT
    
            WHEN SBJCT_IMPRMNT_INDCTR = 1 
                AND ACCNTNG_CLSSFCTN IN (77,76,9)
                THEN
                    CASE
                        WHEN IMPRMNT_STTS=26 THEN ACCMLTD_CVRG_RT = ACCMLTD_IMPRMNT/GRSS_CRRYNG_AMNT
                        WHEN IMPRMNT_STTS=21 THEN ACCMLTD_CVRG_RT=GNRL_ALLWNCS_BNK_RSK+GNRL_ALLWNCS_CRDT_RSK/GRSS_CRRYNG_AMNT
                    END

            WHEN SBJCT_IMPRMNT_INDCTR=2 
                AND PRFRMNG_STTS=1 
                AND IMPRMNT_STTS=0 
                THEN ACCMLTD_CHNGS_FV_CR/GRSS_CRRYNG_AMNT
            
            ELSE NULL
        END;",2024-02-28,9999-12-31
TRNSFR_IMPRMNT_STGS_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/TRNSFR_IMPRMNT_STGS/infosheet.md,D,ECB,Transfer between impairment stages derivation rule,TRNSFR_IMPRMNT_STGS_TR,This derivation rule aims to obtain the Transfer between impairment stages from its building blocks.,"SET TRNSFR_IMPRMNT_STGS =
        CASE
            WHEN INTL_IMPRMNT_STTS = 23
                THEN
                    CASE
                        WHEN IMPRMNT_STTS = 24 THEN 3
                        WHEN IMPRMNT_STTS = 25 THEN 5
                    END

            WHEN INTL_IMPRMNT_STTS = 24
                THEN
                    CASE
                        WHEN IMPRMNT_STTS = 23 THEN 1
                        WHEN IMPRMNT_STTS = 25 THEN 6
                    END

            WHEN INTL_IMPRMNT_STTS = 25
                THEN
                    CASE
                        WHEN IMPRMNT_STTS = 23 THEN 2
                        WHEN IMPRMNT_STTS = 24 THEN 4
                    END
        END;",2024-02-28,9999-12-31
SHRT_PSTN_ACCNTNG_CLSSFCTN_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/SHRT_PSTN_ACCNTNG_CLSSFCTN/infosheet.md,D,ECB,Accounting classification for short positions derivation rule,SHRT_PSTN_ACCNTNG_CLSSFCTN_TR,This derivation rule aims to obtain the Accounting classification for short positions from its building blocks.,"SET SHRT_PSTN_ACCNTNG_CLSSFCTN = 
      CASE
        WHEN SHRT_TRDNG_BK_SCRTY_PSTN_ACCNTNG_STNDRD = 4
        THEN 3
        WHEN SHRT_TRDNG_BK_SCRTY_PSTN_ACCNTNG_STNDRD = 3
        THEN 2
        ELSE 'N/A'
      END;",2024-02-28,9999-12-31
TM_SNC_INTL_RCGNTN_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/TM_SNC_INTL_RCGNTN/infosheet.md,D,ECB,Time elapsed since initial recognition derivation rule,TM_SNC_INTL_RCGNTN_TR,This derivation rule aims to obtain the Time elapsed since initial recognition from its building blocks.,"SET TM_SNC_RCGNTN = DT_RFRNC - TKN_PSSSSN_DT,
        TM_SNC_INTL_RCGNTN = 
            CASE
                WHEN TM_SNC_RCGNTN/365 > 0 AND TM_SNC_RCGNTN/365 <= 1 THEN 20
                WHEN TM_SNC_RCGNTN/365 > 1 AND TM_SNC_RCGNTN/365 <= 2 THEN 27
                WHEN TM_SNC_RCGNTN/365 > 2 AND TM_SNC_RCGNTN/365 <= 5 THEN 29
                WHEN TM_SNC_RCGNTN/365 > 5 THEN 37
            END;",2024-02-28,9999-12-31
ACCMLTD_WRTFFS_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/ACCMLTD_WRTFFS/infosheet.md,D,ECB,Accumulated write-off derivation rule,ACCMLTD_WRTFFS_TR,This derivation rule aims to obtain the Accumulated write-off from its building blocks.,"SET ACCMLTD_TTL_WRTFFS = 
      CASE
        WHEN GRSS_CRRYNG_AMNT = 0 AND CRRYNG_AMNT = 0 THEN ACCMLTD_WRTFFS
        ELSE N/A
      END;

    SET ACCMLTD_PRTL_WRTFFS = 
      CASE
        WHEN CRRYNG_AMNT <> 0 THEN ACCMLTD_WRTFFS
        ELSE N/A
      END;",2024-02-28,9999-12-31
AMNT_DRCGNSD_CPTL_PRPS_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/AMNT_DRCGNSD_CPTL_PRPS/infosheet.md,D,ECB,Amounts derecognised for capital purposes derivation rule,AMNT_DRCGNSD_CPTL_PRPS_TR,This derivation rule aims to obtain the Amounts derecognised for capital purposes from its building blocks.,"SET AMNT_DRCGNSD_CPTL_PRPS = 
      CASE
        WHEN SGNFCNT_RSK_TRNSFR_INDCTR = 1
        THEN CRRYNG_AMNT
        ELSE 'N/A'
      END;",2024-02-28,9999-12-31
APPLCTN_FRBRNC_STTS_DT_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/APPLCTN_FRBRNC_STTS_DT/infosheet.md,D,ECB,Date/period of application of forbearance measure derivation rule,APPLCTN_FRBRNC_STTS_DT_TR,This derivation rule aims to obtain the Date/period of application of forbearance measure from its building blocks.,"SET APPLCTN_FRBRNC_STTS_DT = 
      CASE
        WHEN DT_FRBRNC_STTS > DATEADD(month,-3,DT_RFRNC) 
        AND DT_FRBRNC_STTS < DT_RFRNC
        THEN 2
        ELSE -1
      END;",2024-02-28,9999-12-31
CLLTRL_VL_UNCPPD_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/CLLTRL_VL_UNCPPD/infosheet.md,D,ECB,Allocated collateral value uncapped pre haircuts derivation rule,CLLTRL_VL_UNCPPD_TR,This derivation rule aims to obtain the Allocated collateral value uncapped pre haircuts from its building blocks.,SET CLLTRL_VL_UNCPPD = PRTCTN_ALLCTD_VL + ALLCTD_UNSD_CLLTRL_VL,2024-02-28,9999-12-31
CMMRCL_RL_ESTT_LN_INDCTR_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/CMMRCL_RL_ESTT_LN_INDCTR/infosheet.md,D,ECB,Commercial real estate loan indicator derivation rule,CMMRCL_RL_ESTT_LN_INDCTR_TR,This derivation rule aims to obtain the Commercial real estate loan indicator from its building blocks.,"SET CMMRCL_RL_ESTT_LN_INDCTR = 
      CASE
        WHEN TYP_CLLTRL = 10 OR PRPS = 13
        THEN 1
        ELSE 2
      END;",2024-02-28,9999-12-31
CRRNT_LTV_RT_TR,https://gitlab.sofa.dev/bird-subgroups/bird-transformation-rules/-/blob/main/FinRep%20subgroup/final%20derivation%20rules/CRRNT_LTV_RT/infosheet.md,D,ECB,Current loan-to-value ratio derivation rule,CRRNT_LTV_RT_TR,This derivation rule aims to obtain the Current loan-to-value ratio from its building blocks.,SET CRRNT_LTV_RT = NMNL_AMNT / MRKT_VL,2024-02-28,9999-12-31
