SEMANTIC_TRANSFORMATION_RULE_ID,CUBE_ID,IS_SOURCE
F_20_04_TR,FINREP_REF_F_20.04_REF_FINREP 3.0,false
F_20_05_a_TR,FINREP_REF_F_20.05.a_REF_FINREP 3.0,false
F_20_05_b_TR,FINREP_REF_F_20.05.b_REF_FINREP 3.0,false
F_20_06_TR,FINREP_REF_F_20.06_REF_FINREP 3.0,false
F_20_07_1_TR,FINREP_REF_F_20.07.1_REF_FINREP 3.0,false
F_21_00_TR,FINREP_REF_F_21.00_REF_FINREP 3.0,false
F_23_01_TR,FINREP_REF_F_23.01_REF_FINREP 2.9,false
F_23_02_TR,FINREP_REF_F_23.02_REF_FINREP 2.9,false
F_23_03_TR,FINREP_REF_F_23.03_REF_FINREP 2.9,false
F_23_04_TR,FINREP_REF_F_23.04_REF_FINREP 2.9,false
F_23_05_TR,FINREP_REF_F_23.05_REF_FINREP 2.9,false
F_23_06_TR,FINREP_REF_F_23.06_REF_FINREP 2.9,false
F_25_02_a_TR,FINREP_REF_F_25.02.a_REF_FINREP 3.0,false
F_25_02_b_TR,FINREP_REF_F_25.02.b_REF_FINREP 3.0,false
F_25_02_c_TR,FINREP_REF_F_25.02.c_REF_FINREP 3.0,false
F_25_03_a_TR,FINREP_REF_F_25.03.a_REF_FINREP 2.9,false
F_25_03_b_TR,FINREP_REF_F_25.03.b_REF_FINREP 2.9,false
F_26_00_a_TR,FINREP_REF_F_26.00.a_REF_FINREP 2.9,false
F_26_00_b_TR,FINREP_REF_F_26.00.b_REF_FINREP 2.9,false
F_31_01_TR,FINREP_REF_F_31.01_REF_FINREP 3.0,false
F_42_00_TR,FINREP_REF_F_42.00_REF_FINREP 3.0,false
F_01_01_TR,FINREP_REF_F_01.01_REF_FINREP 3.0,false
F_01_02_TR,FINREP_REF_F_01.02_REF_FINREP 3.0,false
F_04_01_TR,FINREP_REF_F_04.01_REF_FINREP 3.0,false
F_04_02_1_TR,FINREP_REF_F_04.02.1_REF_FINREP 3.0,false
